연번,업소명,소재지(도로명),소재지전화번호,주된음식
1,거창맷돌(부곡점),부산광역시 금정구 부곡로 158 (부곡동),051-513-3537,순두부
2,경희궁,부산광역시 금정구 금샘로 441 (구서동),051-517-9292,샤브샤브
3,금성,부산광역시 금정구 산성로 443 (금성동),051-517-4847,염소불고기
4,김가네국수,부산광역시 금정구 금강로 686 (남산동),051-513-8228,국수
5,낙원식당,부산광역시 금정구 식물원로44번길 12 (장전동),051-515-5789,쌈밥
6,남산찹쌀아구찜,부산광역시 금정구 금강로 694 (남산동),051-516-1506,아구찜
7,누리마을감자탕,부산광역시 금정구 중앙대로1719번길 61 (부곡동),051-514-9222,감자탕
8,느루,부산광역시 금정구 금샘로 478 (남산동),051-512-6460,한정식
9,늘아침,부산광역시 금정구 부산대학로64번길 155 (장전동),051-518-9200,오리고기
10,다루,부산광역시 금정구 금샘로 375 (구서동),051-513-3395,수제비
11,대성갈비,부산광역시 금정구 금강로 630 (남산동),051-514-8630,돼지갈비
12,대성관,부산광역시 금정구 금강로 179 (장전동),051-518-4001,생선회
13,돈모리,부산광역시 금정구 금강로 593 (구서동),051-583-9289,돼지갈비
14,동경식당,부산광역시 금정구 서동로175번길 32 (서동),051-526-8488,초밥
15,만도리,부산광역시 금정구 청룡로 52 (청룡동),051-517-8009,오리고기
16,맛골,부산광역시 금정구 서동중심로 62 (서동),051-525-5004,샤브샤브
17,명수정,"부산광역시 금정구 구서로 23, 4층 (구서동)",051-517-4114,생갈비
18,무심정,부산광역시 금정구 북문로 23 (금성동),051-517-3352,오리고기
19,물레방아집,부산광역시 금정구 산성로 522 (금성동),051-517-5555,오리고기
20,미방,부산광역시 금정구 하마1길 57 (청룡동),051-508-3222,오리고기
21,박기모 조방낙지,부산광역시 금정구 부곡로141번길 1 (부곡동),051-582-2462,낙지볶음
22,배비장보쌈,"부산광역시 금정구 금정로 239, 1,2,3층 (구서동)",051-515-2106,보쌈
23,백향목,부산광역시 금정구 땅곡길 37 (금성동),051-517-9252,염소불고기
24,부산압구정한우갈비,부산광역시 금정구 청룡로 61 (남산동),051-512-0025,생갈비
25,산성집,부산광역시 금정구 산성로 524 (금성동),051-517-7900,염소불고기
26,삼성웰스토리(주)동래베네스트,부산광역시 금정구 하정로 66(남산동),051-580-0379,정식
27,서울깍두기,부산광역시 금정구 장전온천천로 75 (장전동),051-582-9005,설렁탕
28,서울식당,부산광역시 금정구 서부로16번길 10 (서동),051-527-9433,갈비
29,성용장,부산광역시 금정구 놀이마당로 25 (청룡동),051-508-5353,오리고기
30,손씨집,부산광역시 금정구 상마1길 46 (청룡동),051-508-4477,오리고기
31,솔밭집,부산광역시 금정구 서부로76번길 13 (서동),051-522-1322,오리고기
32,송해반점,"부산광역시 금정구 중앙대로 2089-5, 1,2층 101-1,101-2호 (남산동)",051-517-4543,중화요리
33,오륙도낙지,부산광역시 금정구 수림로20번길 49 (부곡동),051-515-0016,낙지볶음
34,우정갈비,부산광역시 금정구 금샘로 353 (구서동),051-513-2100,생갈비
35,원조조방낙지,부산광역시 금정구 청룡로 33 (청룡동),051-508-0666,낙지볶음
36,일송면옥,"부산광역시 금정구 부곡로141번길 6, 1,2층 (부곡동)",051-514-3381,"밀면,갈비"
37,주식회사 이랴이랴 푸드웰,부산광역시 금정구 중앙대로 1975 (남산동),051-517-1003,갈비
38,참나무숯불구이,부산광역시 금정구 금정로 25 (장전동),051-582-5392,생갈비
39,창녕집,부산광역시 금정구 산성로 520 (금성동),051-517-5288,오리고기
40,채선당남산점,부산광역시 금정구 청룡로 59 (남산동),051-583-1411,샤브샤브
41,청사초롱,부산광역시 금정구 산성로 447 (금성동),051-517-8849,염소불고기
42,청해,부산광역시 금정구 서동로 159-1 (서동),051-524-1887,생선회
43,초심한우정,부산광역시 금정구 범어천로 11 (남산동),051-517-7892,생갈비
44,푸주옥 설렁탕 도가니탕,부산광역시 금정구 금정로 248 (구서동),051-518-9520,설렁탕
45,풀내음,부산광역시 금정구 범어사로 360 (청룡동),051-508-3020,한정식
46,풍년오리박사,부산광역시 금정구 청룡로 40 (청룡동),051-508-4642,오리고기
47,하마정원,부산광역시 금정구 범어사로 344 (청룡동),051-508-9233,생갈비
48,함안매운탕,부산광역시 금정구 두실로 17 (구서동),051-514-8216,장어구이
49,합천돼지국밥,부산광역시 금정구 서금로 17 (서동),051-527-1302,돼지국밥
50,현대가든,부산광역시 금정구 산성로 510 (금성동),051-517-6767,염소불고기
51,황금오리,부산광역시 금정구 금강로446번길 41 (구서동),051-512-5294,오리고기
